Name	lnBF_n1	lnBF_n1_err	lnBF_n2	lnBF_n2_err
GRB080916C	3.6921062829855593	0.1275318875174639	3.2547512195364092	0.11772052552425338
GRB081221	11.72646674656713	0.124749696301701	11.80707979868071	0.11762027932556265
GRB090328	15.72168213766006	0.10825660159276142	16.08564995248213	0.10519372998308509
GRB090618	2.6677736451371405	0.14324875780109422	2.9963015811137783	0.13963170911066586
GRB090926A	16.00135192699917	0.15570736598097223	13.76669751168818	0.13919649348519278
GRB091003A	25.0514276241707	0.08946717231550708	24.899972419159823	0.07683156207445269
GRB100728A	-5.922047489458981	0.12329627734628971	-5.70932540299113	0.11964749533608705
GRB120119A	5.37081846703091	0.1181705943200001	7.213782583939061	0.12458007528946036
GRB130427A	29.04315315673816	0.1818476174621699	28.95395120795687	0.17501913351733417
GRB130518A	26.5859460213171	0.11783855490821894	29.107422123276592	0.1306473880263471
GRB130925A	-5.740309070881011	0.160690308055112	-9.75691126107595	0.1274606297299974
GRB131108A	30.87582537194958	0.12261285515239534	31.07546773989777	0.12051451832482928
GRB131231A	38.93186769950733	0.17037633719606715	34.22058101837755	0.14339712627429993
GRB140206A	33.73998714570663	0.1449501982294049	31.774652114022203	0.13109623069925147
GRB140508A	12.72534619609236	0.09727798905671298	14.61210153578257	0.10493364726103895
GRB141028A	3.9337136880902914	0.10125420591098176	3.915474393275911	0.09663812551522721
GRB150314A	48.10206101822648	0.12942843792733977	48.28250012291769	0.12395544866711321
GRB150403A	11.79752052176073	0.10816590984271311	13.34167122156496	0.11148707303295126
GRB150514A	20.762449143223712	0.11808303178707041	20.06546118608454	0.10425678043686977
GRB150821A	1.902840696104601	0.1341096142440688	2.5853351308753307	0.1326950530500138
GRB160509A	16.87535327073072	0.12658215966482558	16.19148807839681	0.11392983748379375
GRB160625B	52.10400125638116	0.1359924463974315	59.429999520552	0.16593317184394296
GRB171010A	4.08015722338828	0.1684965997632493	1.1118391042173492	0.14641236726677317
GRB180703A	24.40153826438821	0.10001418760640027	24.0638791125158	0.10512172025214078
GRB180720B	19.328842279311928	0.14053527803362956	20.249143770600462	0.1410264919395001
GRB190114C	48.62991648431177	0.17366274498169648	54.28244791999333	0.1767291133779834
GRB200613A	4.7405055232787	0.10895523149034819	6.26841267389823	0.1157079444369222
GRB200829A	63.03021155407753	0.15944755613958916	64.55942128917835	0.1600824856269377
GRB201216C	11.64795937643719	0.12616322039838765	12.53619295383034	0.12744039208081864
GRB210204A	12.63625066262053	0.12517930263600827	12.908638738223608	0.12119517705402756
GRB210610B	-3.2886856953146903	0.15401659210256563	-6.039488394814789	0.1342648537066925
GRB210619B	60.40267932295859	0.1466730919193981	61.15493847464175	0.14443516211418425
