Name	logE-evidence	error  
GRB080916C	-0.139475512195364164E+02	0.117311901057422160E+00
GRB081221	-0.113416797986807190E+02	0.117341041876333221E+00
GRB090328	-0.115124499524821324E+02	0.104896667381543754E+00
GRB090618	-0.147749015811137880E+02	0.139440755122616999E+00
GRB090926A	-0.140861975116881819E+02	0.138960619596248613E+00
GRB091003A	-0.536457241915982408E+01	0.763819280379886695E-01
GRB100728A	-0.128835745970088720E+02	0.119430662479109509E+00
GRB120119A	-0.128143825839390662E+02 	0.124354111951023208E+00
GRB130427A	-0.216034512079568799E+02	0.174787577067589295E+00
GRB130518A	-0.123455221232765950E+02	0.130357393338877886E+00
GRB130925A	-0.128506887389240543E+02	0.127284414329357359E+00
GRB131108A	-0.128564677398977736E+02	0.120242002341384976E+00
GRB131231A	-0.166877810183775530E+02	0.143156717703807140E+00
GRB140206A	-0.145083521140222036E+02	0.130826838620947211E+00
GRB140508A	-0.115402015357825736E+02	0.104643348223879745E+00
GRB141028A	-0.117692743932759143E+02	0.963064239970356784E-01
GRB150314A	-0.144251001229176996E+02	0.123663669904565551E+00
GRB150403A	-0.125756712215649653E+02	0.111185104458531706E+00
GRB150514A	-0.109901611860845421E+02	0.103979403090524086E+00
GRB150821A	-0.171162351308753315E+02	0.132520704434990005E+00
GRB160509A	-0.115838880783968161E+02	0.113641532324602404E+00
GRB160625B	-0.321778995205520033E+02	0.165666706124651147E+00
GRB171010A	-0.178782391042173501E+02	0.146258987035533999E+00
GRB180703A	-0.146959791125158059E+02	0.104853831922201879E+00
GRB180720B	-0.150281437706004670E+02	0.140712868739010177E+00
GRB190114C	-0.385277479199933381E+02	0.176462714235523760E+00
GRB200613A	-0.129716126738982300E+02	0.115477436782333714E+00
GRB200829A	-0.205690212891783553E+02	0.159834890447920458E+00
GRB201216C	-0.179249929538303405E+02	0.127207560835481764E+00
GRB210204A	-0.173460387382236121E+02	0.120889664327257979E+00
GRB210610B	-0.170763116051852109E+02	0.134060773311508036E+00
GRB210619B	-0.168351384746417594E+02	0.144135443437589938E+00
